ancak	fakat
ayrıca	bunun yanında
çünkü	zira
bu nedenle	bu yüzden
örneğin	mesela
sonuç olarak	neticede
ilk olarak	öncelikle
son olarak	nihayet
önemli	kritik
sorun	problem
çözüm	yöntem
araştırma	inceleme
sonuç	bulgu
geliştirmek	iyileştirmek
kullanmak	faydalanmak
sağlamak	temin etmek
yapmak	gerçekleştirmek
almak	elde etmek
vermek	sunmak
göstermek	ortaya koymak
artırmak	yükseltmek
azaltmak	düşürmek
oluşturmak	meydana getirmek
iyi	etkili
kötü	yetersiz
büyük	kapsamlı
küçük	sınırlı
hızlı	süratli
kolay	pratik
zor	karmaşık
açıklama	beyanat
problem	sorun
sebep	neden
detay	ayrıntı
özellik	nitelik
durum	vaziyet
imkan	olanak
zorluk	güçlük
amaç	hedef
yasa	kanun
karar	hüküm
destek	yardım
lider	önder
fayda	yarar
zarar	ziyan
araç	vasıta
görev	vazife
zaman	vakit
gelecek	istikbal
hayat	yaşam
önem	ehemmiyet
uyarı	ikaz
başarı	muvaffakiyet
olay	hadise
şüphe	kuşku
yöntem	metot
kural	kaide
örnek	misal
cevap	yanıt
soru	sual
belge	vesika
isim	ad
ihtiyaç	gereksinim
teklif	öneri
ihtimal	olasılık
değer	kıymet
hatıra	anı
fikir	düşünce
yetenek	kabiliyet
sonuçta	neticede
genellikle	çoğunlukla
özellikle	bilhassa
mutlaka	muhakkak
sürekli	devamlı
hemen	derhal
yani	özetle
başlangıç	ilk aşama
bitiş	sonlanma
gelişim	ilerleme
değişim	dönüşüm
artış	yükseliş
azalış	düşüş
etki	tesir
tepki	reaksiyon
ilişki	bağlantı
bağlantı	irtibat
sistem	düzen
yapı	strüktür
plan	taslak
program	çizelge
süreç	işleyiş
aşama	evre
adım	safha
sebep olmak	yol açmak
elde etmek	kazanmak
sunmak	takdim etmek
kullanım	istifade
incelemek	tahlil etmek
araştırmak	incelemek
belirtmek	ifade etmek
açıklamak	izah etmek
arttırmak	çoğaltmak
iyileştirmek	düzeltmek
bozmak	tahrip etmek
korumak	muhafaza etmek
önlemek	engellemek
başlamak	başlatmak
bitirmek	tamamlamak
yapılmak	gerçekleşmek
görülmek	müşahede edilmek
sağlanmak	temin edilmek
oluşmak	meydana gelmek
gerekmek	lüzumlu olmak
olabilir	muhtemel
kesin	katı
yaklaşık	tahmini
doğru	isabetli
yanlış	hatalı
açık	net
kapalı	belirsiz
yüksek	fazla
düşük	az
öncelik	önem sırası
gereklilik	zorunluluk
zorunlu	mecburi
istek	talep
görüş	fikir
yorum	değerlendirme
analiz	tahlil
veri	malzeme
bilgi	malumat
kaynak	referans
kapsam	içerik
içerik	muhteva
başlık	manşet
metin	yazı
paragraf	bölüm
ifade	ibare
anlam	mana
kapsamak	içermek
içermek	barındırmak
tasarlamak	kurgulamak
üretmek	imal etmek
dağıtmak	yaymak
yaymak	neşretmek
yayınlamak	neşretmek
